Table Name,Field Name,Field Description
_MDD_JCT_CREDIBLE_CLIENT_LAB_TEST_TYPES,Lab Test Type ID,Unique ID of the Lab Test Type.
_MDD_JCT_CREDIBLE_CLIENT_LAB_TEST_TYPES,Lab Test Type Facility ID,Unique ID of the Lab Test Type Facility.
_MDD_JCT_CREDIBLE_CLIENT_LAB_TEST_TYPES,Lab Test Type Description,
_MDD_JCT_CREDIBLE_CLIENT_LAB_TEST_TYPES,Lab Test Type LOINC Code,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication ID,Unique ID of the Medication.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication ID RxNorm,The drug ID assigned by the US National Library of Medicine.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication ID National Drug Code,The drug ID assigned by the FDA.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Med ID First Databank ID,Unique ID of the Med ID First Databank.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client ID,Unique ID of the Client.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Instructions Frequency Freetext,"Freeform frequency by a prescriber, typically associated with medication."
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Instructions Dose,"Dosage instructed by a prescriber, typically associated with medication."
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Dose Action,The action/method of dosing done by the human.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Instructions Freetext,"Freeform instructions by a prescriber, typically associated with medication."
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Instructions Route,"Route of medication by a prescriber, typcailly associated with medication."
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Instructions Route Per,"Route per frequency of medication by a prescriber, typcailly associated with medication."
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Instructions Route Time,"Route temporal type of medication by a prescriber, typcailly associated with medication."
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Instructions Combined,Combined instructions typically associated with medication.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Instructions Rx,Combined instructions typically associated with medication.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Strength,The strength of the medicine associated with a given time span.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Strength Unit,The strength unit used to express the strength of the medicine associated with a given time span.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Status,"The individual's status in the system, typically ""active"", ""inactive"", or ""pending"". The client status value as recorded."
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Rx Refills,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Rx Days Supply,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Instruction Dose Qty,A quantity of medication instructed to take.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication ICD10 Code,"The diagnosis code associated with the International Statistical Classification of Diseases and Related Health Problems, 10th Revision."
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Schedule,The medication schedule number as defined by the DEA.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Classification,*Not defined broadly. See specific fields for nuanced definition.*.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Name,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Date Started,DO NOT USE.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Date Discontinued,DO NOT USE.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Start,"The start of the time span, as a date or datetime value."
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication End,"The end of the time span, as a date or datetime value."
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Date Changed,The date when a change was made to the medication.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Reason,The reason associated with the time span.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Prescription Status,"Indicates whether a medication associated with a time span is prescribed by an agency prescriber, an external provider, or over the counter."
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Order ID,Unique ID of the Order.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Supervised By,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Supervised By User ID,Unique ID of the Medication Supervised By User.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Created By,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Created By User ID,Unique ID of the Medication Created By User.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Created Date,The date the Medication record was created.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Updated Date,The date the Medication record was last updated.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Appointment ID,Unique ID of the Appointment.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Order Status,The status of the order as shaped by this module. This status is determined by module logic using whether the order end date is missing or in the future.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Medication Link NLM RxNav,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client ID External,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client ID Social Security Number,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client ID Fuzzy A2,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client ID JCT Fuzzy A0,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client ID JCT Fuzzy A1,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Name First & Last,The client's name formatted as first and last.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Name Last & First,"The client's name formatted as last, first."
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Name First & Last w/Initial,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Name First & Last w/Initial & Client ID,Unique ID of the Client Name First & Last w/Initial & Client.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Name Last & First w/Initial,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Name Last & First w/Initial & Client ID,Unique ID of the Client Name Last & First w/Initial & Client.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Name Middle,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Name First,The client's first name.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Name Last,The client's last name.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Date of Birth,The client's date of birth.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Date of Death,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Admission Date,The date the client was admitted.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Admission Date Fiscal Year,The fiscal year of the client admission date.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Discharge Date,The date the client was discharged.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Discharge Date Fiscal Year,The fiscal year of the client discharge date.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Age in Hours,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Age in Days,The client's age expressed in days based on date of birth.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Age in Months,The client's age expressed in months based on date of birth.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Age in Years,The client's age expressed in years based on date of birth.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Age In Years Old Difference,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Status,The client status value as recorded.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Status ID,Unique ID of the Client Status.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Is Active,Indicates whether the client is active.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Is Inactive,Indicates whether the client is inactive.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Is Pending,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Visibility,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Ethnicity 1,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Ethnicity 1 ID,Unique ID of the Client Ethnicity 1.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Ethnicity 1 Granular,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Ethnicity 1 Granular ID,Unique ID of the Client Ethnicity 1 Granular.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Race 1,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Race 2,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Race 3,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Race 1 ID,Unique ID of the Client Race 1.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Race 2 ID,Unique ID of the Client Race 2.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Race 3 ID,Unique ID of the Client Race 3.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Race Granular,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Race Granular ID,Unique ID of the Client Race Granular.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Preferred Language,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Preferred Language ID,Unique ID of the Client Preferred Language.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Sex,"The client's sex as recorded. QuickMAR does not provide separate source fields for sex and gender, so this value is sourced from the same underlying field as [Client Gender]."
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Sex ID,Unique ID of the Client Sex.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Employment Status,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Employment Status ID,Unique ID of the Client Employment Status.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Gender Identity,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Gender Identity ID,Unique ID of the Client Gender Identity.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Marital Status,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Marital Status ID,Unique ID of the Client Marital Status.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Sexual Orientation,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Sexual Orientation ID,Unique ID of the Client Sexual Orientation.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Military Status,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Military Status ID,Unique ID of the Client Military Status.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Created Date,The date the Client record was created.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Updated Date,The date the Client record was last updated.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Programs,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Teams,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Referral NPI,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Referral NPI Link,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Age Group,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Age Group Sort Order,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Age In Years Old,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client ID FA0,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client ID FA1,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Schedule (1st Available),
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Add Service,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Allergies,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Amendments,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Attachments,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Authorizations,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Bed Assignments,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Client Profile Extended,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Contacts,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Claims,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Links,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Clinical Support,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Tx Plan (Credible Plan),
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Dashboard,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Diagnosis,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link eMAR Group,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link eMAR,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Employee Assignments,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Episodes,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link External Providers,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Family,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Form Groups,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link GeoAreeas,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Implantable Devices,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Insurance,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Ledger,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Liability,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Log,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Medical Profile,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Medications,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Notes,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Notification,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Orders,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Overview,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Payments,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Payment Plans,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Program,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Profile,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Schedule,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Service List,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Schedule Grp,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Team,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Users,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Link Warnings,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Assigned Users Active Primary Count,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Assigned Users Primary Count,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Assigned Employees Primary,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Assigned Users Primary,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Assigned Users Active Primary,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Address Primary ID Fuzzy A0,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Address Primary 1,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Address Primary 2,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Address Primary City,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Address Primary State,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Address Primary Zip,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Address Primary County,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Address Primary Country,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Address Billing 1,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Address Billing 2,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Address Billing City,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Address Billing State,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Address Billing Zip,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Address Billing County,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Address Billing Country,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Phone Home Fuzzy A0,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Phone Home,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Phone Mobile Fuzzy A0,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Client Phone Mobile,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Order Signed Date,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Order Signed By,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Ordering Prescriber User ID,Unique ID of the Ordering Prescriber User.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Ordering Prescriber User Name First & Last w/Initial,The ordering prescriber's name.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Order Type,The order type value as shaped by this module. A source SQL comment notes that the human-readable mapping of order type code values is still pending confirmation. Human-readable order-type mappings are still pending external confirmation.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Order Status,The status of the order as shaped by this module. This status is determined by module logic using whether the order end date is missing or in the future.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Order Created Date,The date the Order record was created.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Order Updated Date,The date the Order record was last updated.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Ordering External Prescriber ID,Unique ID of the Ordering External Prescriber.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Lab Facility ID,Unique ID of the Lab Facility.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Lab Facility Name,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Insurance Plan ID,Unique ID of the Insurance Plan.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer ID,Unique ID of the Payer.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Insurance Plan Start Date,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Insurance Plan End Date,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Insurance Plan Billing Order,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Insurance Plan Policy Number,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Insurance Plan Policy Name,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Insurance Plan Policy Group No,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Insurance Plan Type,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Name,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Is CMS,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Is Medicaid,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Is Medicare,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Type Class Code,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Insurance Plan Status,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Insurance Plan Subscriber,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Insurance Plan Created Date,The date the Insurance Plan record was created.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Insurance Plan Updated Date,The date the Insurance Plan record was last updated.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Type,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Type ID,Unique ID of the Payer Type.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Type Category,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Type Name,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Is Tricare,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Is Commercial,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Code,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Address 1,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Address 2,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Address City,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer State,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Address Zip,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Address Country,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Phone,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Fax,
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Created Date,The date the Payer record was created.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Created By User ID,Unique ID of the Payer Created By User.
_MDD_JCT_CREDIBLE_CLIENT_MEDS,Payer Updated Date,The date the Payer record was last updated.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Order Item ID,Unique ID of the Lab Order Item.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item ID,Unique ID of the Order Item.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Order Insurance Plan ID,Unique ID of the Lab Order Insurance Plan.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Order Item Facility ID,Unique ID of the Lab Order Item Facility.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Order Item Facility Name,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Order Item Facility Account Number,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Order Item Patient Instructions,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Order Item Expiration Date,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Order Item Dx 1 ICD10 Code,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Order Item Dx 1 Description,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Order Item Dx 2 ICD10 Code,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Order Item Dx 2 Description,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Order Item Dx 3 ICD10 Code,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Order Item Dx 3 Description,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order ID,Unique ID of the Order.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Client ID,Unique ID of the Client.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Order ID External,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Order ID External Secondary,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Insurance ID,Unique ID of the Lab Insurance.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Facility ID,Unique ID of the Lab Facility.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Facility Account Number,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Patient Instructions,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Speciman Send Date,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Date,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Status,The status recorded for the order item.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Discontinued By User ID,Unique ID of the Order Item Discontinued By User.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Discontinued Date,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item End By User ID,Unique ID of the Order Item End By User.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item End,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Category,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Signed Date,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Signed By,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Completed By,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Completed Date,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Reason,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Type,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Is Medication,"This is an inferred classification based on medication-like details, not an explicit structured medication flag from QuickMAR. Indicates whether the order item is considered a medication item."
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Is Prescription,Indicates whether the item is treated as a prescription.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Is Lab,Indicates whether the order item is treated as a lab item. A source SQL comment notes this field is currently placeholder logic and may later be inferred from [Order Type]. This is currently a provisional placeholder because lab classification may later be inferred from [Order Type].
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Medication ID,Unique ID of the Medication.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Enrollment ID,Unique ID of the Enrollment.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Acknowledged Date,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Acknowledgement,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Dx ID,Unique ID of the Dx.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Dx ICD10 Code,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Due Date,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Ordering External Prescriber ID,Unique ID of the Order Item Ordering External Prescriber.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Item Prescriber ID,Unique ID of the Order Item Prescriber.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Ordering Prescriber User Name First & Last w/Initial,The ordering prescriber's name.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Lab Order ID,Unique ID of the Lab Order.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Signed Date,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Signed By,
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Ordering Prescriber User ID,Unique ID of the Ordering Prescriber User.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Type,The order type value as shaped by this module. A source SQL comment notes that the human-readable mapping of order type code values is still pending confirmation. Human-readable order-type mappings are still pending external confirmation.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Status,The status of the order as shaped by this module. This status is determined by module logic using whether the order end date is missing or in the future.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Created Date,The date the Order record was created.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Order Updated Date,The date the Order record was last updated.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Ordering External Prescriber ID,Unique ID of the Ordering External Prescriber.
_MDD_JCT_CREDIBLE_CLIENT_ORDERS_LAB_ITEMS,Client ID External,
