Data Model Name,Table Name,Table Description
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_EMAIL,Normalizes employee personal and work email addresses into a contact-medium entity and derives email components.
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_PHONE,Normalizes employee home and work phone-number display values from Rippling User data.
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_ETHNICITY,Represents the employee's primary Rippling ethnicity classification as a descriptive attribute.
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_COST_CENTERS,Models Rippling departments as payroll/HRIS cost centers.
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_SUPERVISORY_RELATIONSHIPS,Represents direct and recursively derived indirect employee-to-supervisor relationships.
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_PAY_PERIODS,Builds distinct payroll periods observed on Rippling TimeEntry responses and assigns module sequencing fields.
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_PAY_PERIOD_DAYS,Expands each observed pay period to one row for every calendar date within the period.
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_TIMECLOCK_PUNCHES,"Represents Rippling TimeEntry clock/work periods, enriched with final employee attributes available before the module's later RLS merge."
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_TIMECLOCK_PUNCH_SEGMENTS,"Represents continuous work/break segments nested inside Rippling TimeEntry data, enriched with parent punch and employee attributes."
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_RLS_UPNS,Technical row-level-security lookup of active employees to their work-email user principal values.
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_RLS_ALWAYS_SUPERVISES,Persistent operational list of employees granted universal supervisory visibility for Rippling row-level security.
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_RLS_SUPERVISORY_HIERARCHY,"Technical employee-to-supervisor visibility relationship used to implement row-level security. It includes direct/indirect supervisors, self visibility, and configured universal supervisors."
_MDD_JCT_RIPPLING,_MDD_JCT_RIPPLING_RLS_SUPERVISORY,Aggregates supervisory user-principal emails into a row-level-security access string for each employee.
_MDD_JCT_X_CREDIBLE_CCBHC_UMD,_MDD_JCT_X_CREDIBLE_CCBHC_UMD_AGENCY_CONTEXT,"One-row agency context table used to stamp static agency values onto UMD output, including passthrough columns from [_MDD_JCT_X_CREDIBLE_CCBHC_UMD_AGENCY_CONTEXT_CUSTOM] when present."
_MDD_JCT_X_CREDIBLE_CCBHC_UMD,_MDD_JCT_X_CREDIBLE_CCBHC_UMD_USER_CREDENTIALS,Aggregated credential strings per user for UMD enrichment.
_MDD_JCT_X_CREDIBLE_CCBHC_UMD,_MDD_JCT_X_CREDIBLE_CCBHC_UMD_CLIENT_ACTIVE_DIAGNOSIS,Client/date diagnosis rollup for UMD enrichment.
_MDD_JCT_X_CREDIBLE_CCBHC_UMD,_MDD_JCT_X_CREDIBLE_CCBHC_UMD_CLIENT_ACTIVE_INSURANCE,Client/date insurance rollup for UMD enrichment.
_MDD_JCT_X_CREDIBLE_CCBHC_UMD,_MDD_JCT_X_CREDIBLE_CCBHC_UMD_DATA,Service-level CCBHC UMD export rows for completed appointments.
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_SERVICES,"Stores all service records that are sent to Eleos. Services are the core data type sent to Eleos, with all other data sent being related to these core services either directly or indirectly. This table lists basic data about the services and is used for agencies to understand what services, and therefore what related data, are considered to be targets for the Eleos Compliance product."
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_PROGRAMS,Program reference data for any program that appears in the Services table; link key is [Program ID].
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_PATIENTS,Minimal patient/client data needed for compliance for patients appearing in the Services table; link key is [Patient ID]. Eleos terminology uses Patient.
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_PROCEDURE_CODES,"CPT and HCPCS procedure codes associated with services in the Services table, including modifiers and code type; link key is [Service ID]."
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_TX_PLANS,One row per treatment plan appearing in the Services table; link key is [Tx Plan ID]. Includes services with embedded treatment plan content even when not an official treatment plan.
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_TX_PLAN_CONTENT,"One row per treatment plan content box (plan tree element) in a treatment plan. Represents hierarchy elements such as problems, goals, and interventions; link key to Tx Plans is [Tx Plan ID]."
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_TX_PLAN_CUSTOM_FIELDS,Questions and answers for custom fields associated with treatment plan content (plan tree elements). Current scope is Credible Plan with planned TxPlus expansion; link key is [Tx Content ID].
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_DX,Individual diagnoses associated with services in the Services table; link key is [Service ID].
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_DX_EPISODES,"Full diagnosis episode history for service-linked diagnoses at the patient/ICD10 level, including resolved and reappearing episodes; link key is [Patient ID]."
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_FORMS,Form metadata for forms used to complete services in the Services table; link key is [Form Version ID].
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_FORM_PAGES,Form question/page metadata for forms listed in the Forms table; link key is [Page ID].
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_SIGNATURES_CURRENT,"Current signatures on the service or treatment plan, including signer, sequence/order, and job title/credentials at signature time."
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_SIGNATURES_PREVIOUS,"Historical prior signature versions, including cases where content was signed, unsigned, and re-signed."
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_PROVIDERS,"Providers/staff associated with services in the Services table, including contact and employment details."
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_PROVIDER_SUPERVISORS,"Supervisor relationships for providers associated with services in the Services table, including supervisor contact details."
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_CREDENTIALS,Current credentials for providers associated with services in the Services table.
_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE,_MDD_JCT_X_CREDIBLE_ELEOS_COMPLIANCE_PNP_SETTINGS,Stores settings information used for this solution's Plug and Play dashboard(s).
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_AGING_BUCKETS,"Defines aging-day ranges used to classify service balances into billing age buckets (for example 1-30 days, 31-60 days), based on extension configuration."
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_FISCAL_DATES,"One row per calendar day with general-ledger activity, including fiscal-period context such as fiscal month, quarter, and fiscal year assignments."
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_PAYER_SORT_TYPE,Human-readable payer type values with helper sort fields for ascending and descending reporting order.
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_PAYER_SORT_NAME,Human-readable payer name values with helper sort fields for ascending and descending reporting order.
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_PAYER_SORT_TYPE_NAME,Human-readable payer type name values with helper sort fields for ascending and descending reporting order.
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_PAYER_SORT_CATEGORY,Human-readable payer type category values with helper sort fields for ascending and descending reporting order.
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_PAYER,"Payer/insurer reference metadata with one row per payer, used to enrich billing, payment, claim, and ledger reporting."
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_PAYMENTS,"Payment-level transactions received by the agency in response to billing and claims, including client self-pay, copay, and coinsurance payments."
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_BATCHES,Claim batch records created to group claims for submission to a selected payer for adjudication and payment.
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_CLAIMS,Individual claim records tied to services and prepared for batching and submission to payers for payment.
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_LEDGER_ACTION_TYPES,"Lookup of general-ledger action types and their human-readable names, including behavior flags used in downstream accounting logic."
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_SERVICE_RELATIONSHIP_DETAIL,"Service-relationship mapping for split billing scenarios (including case-rate workflows), identifying parent, primary, and secondary related services."
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_LEDGER_BATCH,Groups of ledger entries (debits and credits) prepared for export from the EHR and import into external accounting systems for bookkeeping.
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_LEDGER,"General-ledger transaction dataset with one row per source ledger transaction generated from service and claim/payment activity, including debit/credit impacts."
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_LEDGER_PAYMENTS,"Payment-level transactions received by the agency in response to billing and claims, including client self-pay, copay, and coinsurance payments."
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_RCM,Organized Revenue Code Matrix output that defines how service criteria map to debit and credit account behavior in accounting workflows.
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_ACCOUNTS_REV,"Accounts classified as revenue accounts, typically represented on the credit side in journal-entry accounting workflows."
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_ACCOUNTS_REC,"Accounts classified as receivable accounts (for example A/R), used to track amounts owed to the agency and typically represented on the debit side."
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_ACCOUNTS_ADJ,"Accounts classified as adjustment accounts, used when payer or agency adjustments change the amount owed to the agency."
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_ACCOUNTS_INFERRED_TRANSACTION_COUNTS,"Intermediate inference-support table that stores transaction count evidence used to classify accounts as receivable, revenue, or adjustment."
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_ACCOUNTS_INFERRED_FRM_LEDGER,Intermediate inference-support table that estimates likely account side behavior from observed ledger transaction patterns.
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_ACCOUNTS,Agency chart-of-accounts reference table with account metadata and inferred account-side classification details.
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_CURRENT_BALANCES,"Current balance by service, including positive, negative, and zero balances; positive values indicate money owed to the agency, negative values indicate money owed back to payers."
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_JOURNAL_ENTRIES,"Journal-entry line dataset derived from the ledger, with one row per debit or credit line for financial reporting and accounting analysis."
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_SERVICES,"Financially focused service dataset derived from Credible service records, preserving service context used in accounting and revenue analysis."
_MDD_JCT_X_CREDIBLE_FINANCIALS,_MDD_JCT_X_CREDIBLE_FINANCIALS_REPORT_DESIGN,Financial/accounting extension output table for Credible financial reporting and general ledger analysis.
_MDD_JCT_X_CREDIBLE_MEDICAL_PROFILE,_MDD_JCT_X_CREDIBLE_MEDICAL_PROFILE_BMI_PERCENTILE_CURVES,CDC-based percentile curve points used for child BMI chart overlays.
_MDD_JCT_X_CREDIBLE_MEDICAL_PROFILE,_MDD_JCT_X_CREDIBLE_MEDICAL_PROFILE_BMI,BMI points for graphing; includes measured client BMI rows and generated percentile curve rows.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_ASC,NPH extension output for ASC.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_ASC_AND_BC,"Completes the work of matching up necessary ASC brief counseling services with ASC scores that necessitate a follow-up plan. Ginger and Andrew agonized over this one in May 2025, but we ended up deciding not to scheck if the score required an assessment, just whether one was done within the appropriate range. We'll let NetSmart determine if the assessment is required."
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_ASSESSMENT_RESULTS,NPH extension output for Assessment Results.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_CLIENT_ADDRESS,NPH extension output for Address.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_CLIENT_CLIENT,NPH extension output for Client.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_CLIENT_CURRENTOCCUPATIONCODE,"While this is capable of being used for the client's occupation, we utilize this intentionally just to collect Military Status, which is a required piece of information for NPH"
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_CLIENT_EMAILACCOUNT,NPH extension output for Emailaccount.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_CLIENT_LANGUAGE,NPH extension output for Language.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_CLIENT_PHONENUMBER,NPH extension output for Phonenumber.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_CLIENT_RACE,NPH extension output for Race.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_CRISIS_CONTACT,NPH extension output for Crisis Contact.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_DIAGNOSIS_DIAGNOSIS,NPH extension output for Diagnosis.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_DIAGNOSIS_VOCABULARY,NPH extension output for Vocabulary.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_EHRASSESSMENTRESULT_EHRASSESSMENTRESULT,We need both of these because the first half of the query uses service-based tables created in the agency specifics. The second half of the query uses custom events that must have either a Visit ID or an Episode ID.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_EHRASSESSMENTRESULT_SCORING,NPH extension output for Scoring.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_EHRASSESSMENTRESULT_VOCABULARY,NPH extension output for Vocabulary.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_EVENTS,Create a mirror image of the Appointments table so that we can pull this data into the EHR Assessment report using the same fields
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_FIRST_CONTACT,NPH extension output for First Contact.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_INCLUSION_CLIENT_YELLOW_LIGHT,"The reports in the Client Collection will be sent whether they're in the INCLUSION CLIENTS table or not, and will be based on whether they have had at least 1 enrollment so long as the enrollment is an allowed program. Reports that are related to Client IDs and not enrollments use the INCLUSION_CLIENTS table. Only send data about CLIENTS if they have at least 1 allowed enrollment."
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_INCLUSION_EHRASSESS,"This section creates inclusions for all data types it case based on that table. Only send data about visits if the visit is tied to an allowed enrollment Only send client assessment data if it's tied to an allowed visit, which is defined above as being attached to an allowed enrollment."
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_INCLUSION_ENROLLMENTS_X,Create a list of included enrollments that exclude enrollments whose client is also excluded.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_INCLUSION_PROGRAMS,All datasets that are enrollment-based are considered for inclusion based on Enrollment ID (episode_id by default) in the _MDD_JCT_X_CREDIBLE_NPH_INCLUSION_ENROLLMENTS table. This section creates inclusions for all data types it case based on that table.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_INCLUSION_USERS,"Only send client assessment data if it's tied to an allowed visit, which is defined above as being attached to an allowed enrollment. Only send staff data if it's tied to a visit, which is defined above as being attached to an allowed enrollment."
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_INCLUSION_VISITS,All datasets that are enrollment-based are considered for inclusion based on Enrollment ID (episode_id by default) in the _MDD_JCT_X_CREDIBLE_NPH_INCLUSION_ENROLLMENTS table. This section creates inclusions for all data types it case based on that table. Only send data about visits if the visit is tied to an allowed enrollment
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_INSURANCEPOLICY_INSURANCEPOLICY,NPH extension output for Insurancepolicy.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_LABORATORYORDER_LABORATORYORDER,"NS expects all Lab Tests and Results to have a corresponding Order. Credible allows you to have eLab tests and results without such an order. Rather than us inventing that, we'll send the Test ID as the Order ID instead."
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_LABORATORYORDER_LABORATORYORDER_REASONCODE,NPH extension output for Laboratoryorder Reasoncode.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_LABORATORYRESULT_LABORATORYRESULT,NPH extension output for Laboratoryresult.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_LABORATORYRESULT_LABORATORYRESULTTEST,NPH extension output for Laboratoryresulttest.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_LABORATORYRESULT_LABORATORYRESULTTESTOBSERVATION,NPH extension output for Laboratoryresulttestobservation.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_LOCATION_LOCATION,NPH extension output for Location.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_MEDICATIONORDER_MEDICATIONORDER,NPH extension output for Medicationorder.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_MEDICATIONORDER_MEDICATIONORDERPRESCRIPTION,NPH extension output for Medicationorderprescription.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_MEDICATIONORDER_MEDICATIONORDERPRESCRIPTIONMEDICATION_VOCABULARY,NPH extension output for Medicationorderprescriptionmedication Vocabulary.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_MEDICATIONORDER_MEDICATIONORDERREASONCODE,NPH extension output for Medicationorderreasoncode.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_PHQ,NPH extension output for PHQ.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_PHQ_AND_FUP,"For example, anyone who is 18 at the time of service might mistakenly get a PHQ-A. For duplicates where the score is 0 for the PHQ-9 and >0 for the PHQ-A, we intentionally ignore those records. We ONLY want data for adults where the PHQ-9 score is > 0 and the PHQ-A is 0, as that means that the Adult assessment was applied while the Child assessment was ignored. Non-Duplicates"
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_PROGRAMADMISSION_PROGRAMADMISSION,NPH extension output for Programadmission.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_PROGRAMADMISSION_REASONCODE,"One 6/30/2025, Andrew Kofoid asked that we not send data for this report if it's null and since every row will be NULL since we don't actually collect this data in Credible I'm just commenting it all out."
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_PROGRAMDISCHARGE_PROGRAMDISCHARGE,NPH extension output for Programdischarge.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_PROGRAMDISCHARGE_REASONCODE,NPH extension output for Reasoncode.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_PROGRAM_PROGRAM,NPH extension output for Program.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_PROVIDER_IDENTIFICATION,NPH extension output for Identification.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_PROVIDER_PROVIDER,NPH extension output for Provider.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_SDOH,NPH extension output for SDOH.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_SERVICE_SERVICE,NPH extension output for Service.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_SERVICE_VOCABULARY,",t.[Appointment Procedure Code HCPCS] [DisplayName]"
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_STAFFMEMBER_ROLE,NPH extension output for Role.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_STAFFMEMBER_STAFFMEMBER,NPH extension output for Staffmember.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_VISIT_MODIFIER,NPH extension output for Modifier.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_VISIT_VISIT,NPH extension output for Visit.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_VISIT_VOCABULARY,NPH extension output for Vocabulary.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_VITALSIGNSET_VITALSIGN,NPH extension output for Vitalsign.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_VITALSIGNSET_VITALSIGNSET,NPH extension output for Vitalsignset.
_MDD_JCT_X_CREDIBLE_NPH,_MDD_JCT_X_CREDIBLE_NPH_VITALSIGNSET_VOCABULARY,NPH extension output for Vocabulary.
_MDD_JCT_X_MYRC,_MDD_JCT_X_MYRC_CLIENTS,A person whose information is included in the agency's MyRC extract.
_MDD_JCT_X_MYRC,_MDD_JCT_X_MYRC_CLIENT_ADDRESSES,A distinct address associated with a client.
_MDD_JCT_X_MYRC,_MDD_JCT_X_MYRC_CLIENT_PHONES,A distinct telephone contact value associated with a client.
_MDD_JCT_X_MYRC,_MDD_JCT_X_MYRC_CLIENT_RACES,A race value associated with a client. MyRC does not impose a controlled race vocabulary.
_MDD_JCT_X_MYRC,_MDD_JCT_X_MYRC_CLIENT_GENDERS,A gender value associated with a client. Known MyRC values are examples and not a closed vocabulary.
_MDD_JCT_X_MYRC,_MDD_JCT_X_MYRC_PROGRAMS,An agency program in which a client may be enrolled. Program Name is supplied to avoid MyRC-side translation of agency-specific Program IDs.
_MDD_JCT_X_MYRC,_MDD_JCT_X_MYRC_ENROLLMENTS,A client's participation in an agency program. A client may have multiple enrollments.
_MDD_JCT_X_MYRC,_MDD_JCT_X_MYRC_ENROLLMENT_PROVIDERS,"Relationship rows linking enrollments to distinct provider assignments. Multiple providers, including multiple primary providers, may exist for one enrollment."
_MDD_JCT_X_MYRC,_MDD_JCT_X_MYRC_ENROLLMENT_REFERRALS,Relationship rows linking enrollments to distinct referral records. Multiple referrals may exist for one enrollment.
